Tanggal,Waktu,Longitude,Latitude,Intensity
15/04/2021,12:00:00 AM,110.1,-18.9,45
15/04/2021,6:00:00 AM,111,-18.3,45
15/04/2021,12:00:00 PM,111.4,-17.6,55
15/04/2021,6:00:00 PM,111.9,-16.8,55
16/04/2021,12:00:00 AM,113.8,-15.8,55
16/04/2021,6:00:00 AM,114.4,-15.5,45
16/04/2021,12:00:00 PM,115.9,-14.8,45
16/04/2021,6:00:00 PM,116.8,-14.1,45
17/04/2021,12:00:00 AM,118,-13.2,45
17/04/2021,6:00:00 AM,119,-12.2,50
17/04/2021,12:00:00 PM,119.3,-11.9,50
17/04/2021,6:00:00 PM,120.8,-11.1,55
18/04/2021,12:00:00 AM,121.5,-11.2,50
18/04/2021,6:00:00 AM,121.9,-11,50
18/04/2021,12:00:00 PM,122.6,-10.5,45
18/04/2021,6:00:00 PM,123,-10.4,45
